subyekt,nomer regiona,y1,y2,y3,y4,y5,y,god,x1
"Belgorodskaya oblast ",1,"33,00","2,3","1,5","39,5","23,7","13866,30",2016,"5,38"
"Bryanskaya oblast ",2,"41,50","2,4","1,5","30,6",24,"10800,10",2016,"5,38"
"Bladimirskaya oblast ",3,"36,30","1,8","1,2","32,1","28,5","12420,20",2016,"5,38"
"Boronezhskaya oblast ",4,"37,80","0,6","2,1","36,3","23,2","12211,40",2016,"5,38"
"Ivanovskaya oblast ",5,"35,40","2,7","2,4","36,1","23,4","14918,50",2016,"5,38"
"Kaluzhskaya oblast ",6,"34,40","3,7","1,9","35,5","24,5","15170,10",2016,"5,38"
"Kostromskaya oblast ",7,"33,90","4,4","2,3","37,2","22,2","12499,10",2016,"5,38"
"Kurskaya oblast ",8,"31,10","2,3","1,3","44,2","21,1","12657,10",2016,"5,38"
"Lipetskaya oblast ",9,"34,20","1,4","1,6",38,"24,8","12340,50",2016,"5,38"
"Moskovskaya oblast ",10,"25,90",3,"1,3","33,4","36,2","18887,90",2016,"5,38"
"Orlovskaya oblast ",11,"31,60","1,2","1,3","42,8","23,1","12193,50",2016,"5,38"
"Pyazanskaya oblast ",12,"40,50","0,6","1,7",30,"27,1","10654,90",2016,"5,38"
"Cmolenskaya oblast ",13,"43,30","1,3","1,3","28,8","25,2","10109,10",2016,"5,38"
"Tambovskaya oblast ",14,"30,50","0,6","1,6","41,1","26,2","9468,40",2016,"5,38"
"Tverskaya oblast ",15,"38,80","2,5","2,1","32,9","23,7","14427,80",2016,"5,38"
"Tulskaya oblast ",16,"37,30","1,5","1,6","34,2","25,3","13210,20",2016,"5,38"
"Yaroslavskaya oblast ",17,"33,80","2,1",2,"34,2","27,9","14032,20",2016,"5,38"
"g.Moskva ",18,"26,50","6,2","2,2","35,3","29,9","27586,30",2016,"5,38"
"Respublika Kareliya ",19,"34,20","2,4","2,3","34,2","26,8","15248,00",2016,"5,38"
"Respublika Komi ",20,"33,10","1,7","1,9","33,1","30,3","15914,40",2016,"5,38"
"Arkhangelskaya oblast ",21,"30,50","3,4","1,9","39,9","24,2","16501,00",2016,"5,38"
"Nenetskiy avt. okrug ",22,"32,60","0,2","1,8","37,7","27,6","20631,90",2016,"5,38"
"Bologodskaya oblast ",23,"37,20","4,5","1,7","30,5",26,"13588,80",2016,"5,38"
"Kaliningradskaya oblast ",24,"36,60",3,"1,5","35,5","23,4","13623,70",2016,"5,38"
"Leningradskaya oblast ",25,"36,50","2,5","1,7","28,8","30,4","13993,00",2016,"5,38"
"Murmanskaya oblast ",26,"28,00","2,7","2,2","37,5","29,5","21230,20",2016,"5,38"
"Hovgorodskaya oblast ",27,"34,30","3,2","1,3","38,8","22,3","13674,70",2016,"5,38"
"Pskovskaya oblast ",28,"38,00","2,6","1,5","33,4","24,5","11780,50",2016,"5,38"
"g. Sankt-Peterburg ",29,"29,10","6,2","1,8","31,6","31,3","23327,50",2016,"5,38"
"Respublika Adygeya ",30,"38,40","1,8","1,3","34,8","23,6","11534,50",2016,"5,38"
"Respublika Kalmykiya ",31,"37,80","1,7","1,4",36,"23,1","8526,30",2016,"5,38"
"Krasnodarskiy kray ",32,"31,70","2,7","1,6","42,1","21,9","14923,00",2016,"5,38"
